"trtid10","county","pop00","pop6a","hu00","hu6a"
6013304004,"Contra Costa County",3890,3812,1618.62890625,1891
6013304005,"Contra Costa County",1827,7631,760.214660644531,2297
6013305000,"Contra Costa County",6480,6501,2400,2520
6013306002,"Contra Costa County",3191.9677734375,3055,1130.32275390625,1101
6013306003,"Contra Costa County",4741,5260,1768.44067382812,1850
6013306004,"Contra Costa County",3425,3369,1277.55944824219,1282
6013307101,"Contra Costa County",4442.8408203125,4604,1540.94470214844,1550
6013307102,"Contra Costa County",5018,5328,1826,1834
6013307201,"Contra Costa County",3029,3370,951,1189
6013307202,"Contra Costa County",4493,4369,1629,1636
6013307204,"Contra Costa County",4443,3960,1373,1378
6013307205,"Contra Costa County",7162,6913,2768,2738
6013308001,"Contra Costa County",7552.15966796875,6876,2525.05541992188,2535
6013308002,"Contra Costa County",4206,4430,1211,1489
6013309000,"Contra Costa County",2496,3508,1003,1299
6013310000,"Contra Costa County",4510,6533,1366,1822
6013311000,"Contra Costa County",4976,5354,1479,1553
6013312000,"Contra Costa County",2617,2373,814,834
6013313101,"Contra Costa County",7030,7137,2668,2806
6013313102,"Contra Costa County",3922,4015,1362,1511
6013313103,"Contra Costa County",5912,8228,2110,2721
6013313203,"Contra Costa County",3676.45922851562,3197,1162.09875488281,969
6013313204,"Contra Costa County",5339.376953125,5189,1687.95886230469,1790
6013313205,"Contra Costa County",1808.95947265625,1777,502.425720214844,522
6013313206,"Contra Costa County",6162.20458984375,5768,1711.51672363281,1690
6013314102,"Contra Costa County",5727,5580,1704,1734
6013314103,"Contra Costa County",5468,6154,1639,1833
6013314104,"Contra Costa County",7272,7817,2455,2475
6013314200,"Contra Costa County",6270,6971,1762,1837
6013315000,"Contra Costa County",3596,3502,1207,1240
6013316000,"Contra Costa County",1651,964,481,497
6013317000,"Contra Costa County",2085,2425,1080,1098
6013318000,"Contra Costa County",3499,3402,1656,1578
6013319000,"Contra Costa County",7655.13720703125,8160,3112.36743164062,3293
6013320001,"Contra Costa County",3225.86303710938,4247,1166.63256835938,1343
6013320003,"Contra Costa County",2654,2825,1088.38208007812,1074
6013320004,"Contra Costa County",5570.541015625,6562,2284.4296875,2671
6013321101,"Contra Costa County",6526,7325,2493,2612
6013321102,"Contra Costa County",6784.97265625,6827,2729.35717773438,2802
6013321103,"Contra Costa County",4734.1845703125,4325,1854.96838378906,1899
6013321200,"Contra Costa County",5249.45947265625,5460,2351.1884765625,2405
6013322000,"Contra Costa County",6333.02734375,6109,2557.64282226562,2554
6013323000,"Contra Costa County",4459,4690,1758,1739
6013324001,"Contra Costa County",4161,5460,2280.94677734375,3046
6013324002,"Contra Costa County",4868.99951171875,5363,2669.05297851562,2480
6013325000,"Contra Costa County",5417.23876953125,5736,2086.48388671875,2192
6013326000,"Contra Costa County",3316,3487,1296,1415
6013327000,"Contra Costa County",6885.9794921875,7738,2879.78930664062,2950
6013328000,"Contra Costa County",1683,2523,1041,1462
6013329000,"Contra Costa County",6645.0205078125,6687,2365.21069335938,2324
6013330000,"Contra Costa County",5679,5734,1982,1966
6013331000,"Contra Costa County",6770,7576,2653,2842
6013332000,"Contra Costa County",7672,8343,2799,2933
